#DE8D8F,#468A5E
#96CB9E,#BF4C93
#25569B,#BE922F
#DA2925,#364E98
#DA2925,#0A6291
#DA2925,#0A6291
#C68B39,#1D6FA9
#DE2625,#23AE9D
#F09C13,#2D518E
#F09A81,#4FAD9F
#58AADA,#DC9B14
#0C2F8E,#BD5C9F
#CE6A6C,#2278B4
#5A3B80,#69AC4A
#E67D37,#644292
#19903A,#F19117
#59BB9A,#A1CB4E
#D42966,#33ADC5
#06397A,#821A1F
#C78177,#328785
#DF6E1E,#694699
#882788,#49B133
#B8B7D8,#E0928B
#5F65A2,#D88479
#4F95B1,#D68579
#7B9EC8,#CE78A3
#B92327,#8DB3c5
#BF5A1D,#5498B3
#D48578,#90B8C7
